"region","physical_pc","virtual_pc","instructions"
"ROME","0xec0182","0x5182","30870"
"ROME","0xea8355","0xd355","30610"
"ROME","0xec3731","0x8731","30510"
"ROME","0xeb8d3e","0x5d3e","30065"
"ROME","0xec30f4","0x80f4","30063"
"ROME","0xeb628f","0x728f","29590"
"ROME","0xeb8dc6","0x5dc6","29220"
"ROME","0xec376c","0x876c","27120"
"ROME","0xeb4c8a","0x5c8a","27078"
"ROME","0xec37b2","0x87b2","26668"
"ROME","0xeb6c44","0x7c44","26595"
"ROME","0xec02d7","0x52d7","25571"
"ROME","0xeb4cee","0x5cee","25298"
"ROME","0xec30e1","0x80e1","24597"
"ROME","0xea81b4","0xd1b4","24540"
"ROME","0xeb53fc","0x63fc","24180"
"ROME","0xeb5509","0x6509","24180"
"ROME","0xeb62eb","0x72eb","23488"
"ROME","0xeb4d1c","0x5d1c","23464"
"ROME","0xeb7887","0x8887","23235"
"ROME","0xeb7775","0x8775","23233"
"ROME","0xeb8b5a","0x5b5a","22032"
"ROME","0xec00b2","0x50b2","21940"
"ROME","0xec014c","0x514c","21940"
"ROME","0xec35e6","0x85e6","21924"
"ROME","0xebe940","0x7940","21599"
"ROME","0xec370a","0x870a","21470"
"ROME","0xeaa619","0xf619","21420"
"ROME","0xec3a4f","0x8a4f","21357"
"ROME","0xec3145","0x8145","19131"
"ROME","0xec31f1","0x81f1","19131"
"ROME","0xec02cc","0x52cc","18265"
"ROME","0xec0384","0x5384","18255"
"ROME","0xec0405","0x5405","18255"
"ROME","0xebe6e0","0x76e0","18250"
"ROME","0xec0486","0x5486","18250"
"ROME","0xec04df","0x54df","18250"
"ROME","0xec0530","0x5530","18250"
"ROME","0xec0553","0x5553","18250"
"ROME","0xec059c","0x559c","18250"
"ROME","0xec0623","0x5623","18250"
"ROME","0xea804d","0xd04d","17892"
"ROME","0xeb6254","0x7254","17754"
"ROME","0xeb625b","0x725b","17754"
"ROME","0xeb1438","0x6438","17660"
"ROME","0xeb58d3","0x68d3","17270"
"ROME","0xea8d4e","0xdd4e","16401"
"ROME","0xea81ba","0xd1ba","16352"
"ROME","0xea86af","0xd6af","15900"
"ROME","0xea86b3","0xd6b3","15900"
"ROME","0xec11ce","0x61ce","15162"
"ROME","0xeb50c9","0x60c9","14432"
"ROME","0xebeaa8","0x7aa8","14226"
"ROME","0xeb4873","0x5873","13715"
"ROME","0xeb4883","0x5883","13715"
"ROME","0xeb5546","0x6546","13664"
"ROME","0xec36f2","0x86f2","13560"
"ROME","0xeb4c7d","0x5c7d","13539"
"ROME","0xeb5039","0x6039","13539"
"ROME","0xeb6bfd","0x7bfd","13539"
"ROME","0xeb48af","0x58af","12989"
"ROME","0xea8097","0xd097","12780"
"ROME","0xeb8b99","0x5b99","12779"
"ROME","0xeb4caf","0x5caf","12649"
"ROME","0xeb8b18","0x5b18","12393"
"ROME","0xeb482c","0x582c","12308"
"ROME","0xeb8bb6","0x5bb6","12295"
"ROME","0xec3993","0x8993","12204"
"ROME","0xeb62d1","0x72d1","11836"
"ROME","0xec388a","0x888a","11752"
"ROME","0xeb4c95","0x5c95","11732"
"ROME","0xec3212","0x8212","11417"
"ROME","0xeaa658","0xf658","11220"
"ROME","0xeb8b79","0x5b79","11016"
"ROME","0xec3085","0x8085","10932"
"ROME","0xea885f","0xd85f","10904"
"ROME","0xeaa621","0xf621","10710"
"ROME","0xec3627","0x8627","10556"
"ROME","0xeb58a5","0x68a5","10218"
"ROME","0xeb5b66","0x6b66","10200"
"ROME","0xeb0026","0x5026","10133"
"ROME","0xec3585","0x8585","9744"
"ROME","0xea8ae6","0xdae6","9607"
"ROME","0xec0631","0x5631","9581"
"ROME","0xeb8b8d","0x5b8d","9555"
"ROME","0xebeacd","0x7acd","9478"
"ROME","0xec17f8","0x67f8","9386"
"ROME","0xea8a35","0xda35","9272"
"ROME","0xec34f3","0x84f3","9087"
"ROME","0xeaa48f","0xf48f","8877"
"ROME","0xec0088","0x5088","8856"
"ROME","0xec365f","0x865f","8621"
"ROME","0xea82c9","0xd2c9","8425"
"ROME","0xeb4867","0x5867","8220"
"ROME","0xea8191","0xd191","8148"
"ROME","0xec3935","0x8935","8136"
"ROME","0xeb553e","0x653e","8060"
"ROME","0xeb60c5","0x70c5","7986"
"ROME","0xea86b7","0xd6b7","7950"
"ROME","0xea86ba","0xd6ba","7950"
"ROME","0xeb586f","0x686f","7860"
"ROME","0xeb50ad","0x60ad","7776"
"ROME","0xea8070","0xd070","7668"
"ROME","0xec01d3","0x51d3","7306"
"ROME","0xec0098","0x5098","7300"
"ROME","0xeb582d","0x682d","7074"
"ROME","0xeb8b3e","0x5b3e","6885"
"ROME","0xec38e1","0x88e1","6780"
"ROME","0xec015c","0x515c","6615"
"ROME","0xec016f","0x516f","6615"
"ROME","0xec359d","0x859d","6524"
"ROME","0xea834c","0xd34c","6363"
"ROME","0xeb5885","0x6885","6288"
"ROME","0xea835f","0xd35f","6261"
"ROME","0xeaa680","0xf680","5905"
"ROME","0xeb6183","0x7183","5872"
"ROME","0xeb48b2","0x58b2","5808"
"ROME","0xec35d5","0x85d5","5684"
"ROME","0xeaa660","0xf660","5610"
"ROME","0xec3a3e","0x8a3e","5537"
"ROME","0xeb62f5","0x72f5","5510"
"ROME","0xeb590f","0x690f","5502"
"ROME","0xec3050","0x8050","5466"
"ROME","0xec3053","0x8053","5466"
"ROME","0xec3070","0x8070","5466"
"ROME","0xec3073","0x8073","5466"
"ROME","0xec3075","0x8075","5466"
"ROME","0xeb4c9b","0x5c9b","5421"
"ROME","0xeb48d0","0x58d0","5216"
"ROME","0xeb7503","0x8503","5214"
"ROME","0xeb5abe","0x6abe","5088"
"ROME","0xec2fb1","0x7fb1","5038"
"ROME","0xec2fae","0x7fae","5008"
"ROME","0xec3055","0x8055","5008"
"ROME","0xeb75a9","0x85a9","4950"
"ROME","0xeb75ae","0x85ae","4950"
"ROME","0xeb6097","0x7097","4706"
"ROME","0xea8199","0xd199","4684"
"ROME","0xeb5ae7","0x6ae7","4664"
"ROME","0xed64de","0x74de","4608"
"ROME","0xea8cbf","0xdcbf","4465"
"ROME","0xeb5154","0x6154","4416"
"ROME","0xec00bd","0x50bd","4388"
"ROME","0xec00bf","0x50bf","4388"
"ROME","0xec0157","0x5157","4388"
"ROME","0xeaa475","0xf475","4352"
"ROME","0xeb8b9e","0x5b9e","4334"
"ROME","0xec38bb","0x88bb","4294"
"ROME","0xeb74d0","0x84d0","4266"
"ROME","0xeb77c5","0x87c5","4252"
"ROME","0xec357a","0x857a","4194"
"ROME","0xec36e7","0x86e7","4068"
"ROME","0xec379a","0x879a","4068"
"ROME","0xeb56e4","0x66e4","4057"
"ROME","0xeb55dc","0x65dc","4014"
"ROME","0xeb5853","0x6853","3930"
"ROME","0xeb5901","0x6901","3930"
"ROME","0xeb58c2","0x68c2","3925"
"ROME","0xeb759e","0x859e","3888"
"ROME","0xea8032","0xd032","3834"
"ROME","0xea8040","0xd040","3834"
"ROME","0xec0159","0x5159","3653"
"ROME","0xec01d8","0x51d8","3653"
"ROME","0xec02e4","0x52e4","3651"
"ROME","0xec038f","0x538f","3651"
"ROME","0xec0391","0x5391","3651"
"ROME","0xec0410","0x5410","3651"
"ROME","0xec0412","0x5412","3651"
"ROME","0xec0491","0x5491","3650"
"ROME","0xec0493","0x5493","3650"
"ROME","0xec04ea","0x54ea","3650"
"ROME","0xec04ec","0x54ec","3650"
"ROME","0xec053b","0x553b","3650"
"ROME","0xec055e","0x555e","3650"
"ROME","0xec0560","0x5560","3650"
"ROME","0xec05a7","0x55a7","3650"
"ROME","0xec05a9","0x55a9","3650"
"ROME","0xec062e","0x562e","3650"
"ROME","0xea8b91","0xdb91","3496"
"ROME","0xec36b6","0x86b6","3390"
"ROME","0xeb6029","0x7029","3267"
